trap-001 OK(31)
trap-002 OK(33)
trap-003 FAIL
trap-004 OK(34)
trap-005 OK(29)
trap-006 OK(25)
trap-007 OK(21)
trap-008 OK(20)
trap-009 FAIL
trap-010 FAIL
trap-011 FAIL
trap-012 FAIL
trap-013 FAIL
trap-014 OK(26)
trap-015 OK(22)
trap-016 OK(22)
trap-017 OK(25)
trap-018 OK(30)
trap-019 OK(35)
trap-020 OK(29)
trap-021 OK(26)
trap-022 FAIL
trap-023 OK(39)
trap-024 FAIL
trap-025 OK(22)
trap-026 OK(42)
trap-027 OK(29)
trap-028 FAIL
trap-029 OK(6)
trap-030 OK(22)
trap-031 OK(8)
trap-032 OK(22)
trap-033 FAIL
trap-034 OK(12)
trap-035 OK(13)
trap-036 OK(18)
trap-037 FAIL
trap-038 OK(32)
trap-039 OK(17)
trap-040 FAIL
trap-041 OK(15)
trap-042 FAIL
trap-043 OK(29)
trap-044 OK(8)
trap-045 FAIL
trap-046 OK(13)
trap-047 OK(15)
trap-048 OK(8)
trap-049 OK(43)
trap-050 FAIL
game-001 FAIL
